cuda:0
bitflip_projchi
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 2000
tensor(23.5895, device='cuda:0')
pval: 0.0010000000474974513 -- 14th test, time elapsed 3.293668508529663 -- emperical power so far: 0.42857142857142855
tensor(6.6255, device='cuda:0')
pval: 0.09000000357627869 -- 15th test, time elapsed 3.316099166870117 -- emperical power so far: 0.4
tensor(16.8732, device='cuda:0')
pval: 0.003000000026077032 -- 16th test, time elapsed 3.257589340209961 -- emperical power so far: 0.4375
tensor(6.8854, device='cuda:0')
pval: 0.09100000560283661 -- 17th test, time elapsed 3.277292013168335 -- emperical power so far: 0.4117647058823529
tensor(4.4519, device='cuda:0')
pval: 0.20500001311302185 -- 18th test, time elapsed 3.35063099861145 -- emperical power so far: 0.3888888888888889
tensor(3.2488, device='cuda:0')
pval: 0.3540000021457672 -- 19th test, time elapsed 3.4205892086029053 -- emperical power so far: 0.3684210526315789
tensor(7.9217, device='cuda:0')
pval: 0.04700000211596489 -- 20th test, time elapsed 3.365870714187622 -- emperical power so far: 0.4
tensor(7.9673, device='cuda:0')
pval: 0.0430000014603138 -- 21th test, time elapsed 3.253716468811035 -- emperical power so far: 0.42857142857142855
tensor(1.9437, device='cuda:0')
pval: 0.6300000548362732 -- 22th test, time elapsed 3.2591865062713623 -- emperical power so far: 0.4090909090909091
tensor(12.3594, device='cuda:0')
pval: 0.006000000052154064 -- 23th test, time elapsed 3.292454719543457 -- emperical power so far: 0.43478260869565216
tensor(6.3965, device='cuda:0')
pval: 0.09200000762939453 -- 24th test, time elapsed 3.310929298400879 -- emperical power so far: 0.4166666666666667
tensor(10.3148, device='cuda:0')
pval: 0.014000000432133675 -- 25th test, time elapsed 3.3572499752044678 -- emperical power so far: 0.44
tensor(5.1258, device='cuda:0')
pval: 0.1720000058412552 -- 26th test, time elapsed 3.3134944438934326 -- emperical power so far: 0.4230769230769231
tensor(8.2002, device='cuda:0')
pval: 0.04400000348687172 -- 27th test, time elapsed 3.2845005989074707 -- emperical power so far: 0.4444444444444444
tensor(3.2502, device='cuda:0')
pval: 0.35200002789497375 -- 28th test, time elapsed 3.3181049823760986 -- emperical power so far: 0.42857142857142855
tensor(18.1051, device='cuda:0')
pval: 0.0020000000949949026 -- 29th test, time elapsed 3.278860092163086 -- emperical power so far: 0.4482758620689655
tensor(19.3908, device='cuda:0')
pval: 0.0010000000474974513 -- 30th test, time elapsed 3.275459051132202 -- emperical power so far: 0.4666666666666667
tensor(7.4852, device='cuda:0')
pval: 0.06100000441074371 -- 31th test, time elapsed 3.283060312271118 -- emperical power so far: 0.45161290322580644
tensor(5.0808, device='cuda:0')
pval: 0.18700000643730164 -- 32th test, time elapsed 3.29607892036438 -- emperical power so far: 0.4375
tensor(2.7833, device='cuda:0')
pval: 0.4130000174045563 -- 33th test, time elapsed 3.3105971813201904 -- emperical power so far: 0.42424242424242425
tensor(5.9696, device='cuda:0')
pval: 0.12600000202655792 -- 34th test, time elapsed 3.30012845993042 -- emperical power so far: 0.4117647058823529
tensor(5.4626, device='cuda:0')
pval: 0.13700000941753387 -- 35th test, time elapsed 3.319417715072632 -- emperical power so far: 0.4
tensor(12.6631, device='cuda:0')
pval: 0.007000000216066837 -- 36th test, time elapsed 3.2873997688293457 -- emperical power so far: 0.4166666666666667
tensor(5.0301, device='cuda:0')
pval: 0.15700000524520874 -- 37th test, time elapsed 3.3017005920410156 -- emperical power so far: 0.40540540540540543
tensor(16.3382, device='cuda:0')
pval: 0.0010000000474974513 -- 38th test, time elapsed 3.283527135848999 -- emperical power so far: 0.42105263157894735
tensor(2.2561, device='cuda:0')
pval: 0.527999997138977 -- 39th test, time elapsed 3.2868878841400146 -- emperical power so far: 0.41025641025641024
tensor(10.5023, device='cuda:0')
pval: 0.015000000596046448 -- 40th test, time elapsed 3.297520160675049 -- emperical power so far: 0.425
tensor(9.5481, device='cuda:0')
pval: 0.02200000174343586 -- 41th test, time elapsed 3.261394500732422 -- emperical power so far: 0.43902439024390244
tensor(2.0849, device='cuda:0')
pval: 0.5380000472068787 -- 42th test, time elapsed 3.3037731647491455 -- emperical power so far: 0.42857142857142855
tensor(6.7424, device='cuda:0')
pval: 0.08500000089406967 -- 43th test, time elapsed 3.3945388793945312 -- emperical power so far: 0.4186046511627907
tensor(2.2054, device='cuda:0')
pval: 0.5440000295639038 -- 44th test, time elapsed 3.316476821899414 -- emperical power so far: 0.4090909090909091
tensor(9.1275, device='cuda:0')
pval: 0.027000000700354576 -- 45th test, time elapsed 3.292170286178589 -- emperical power so far: 0.4222222222222222
tensor(6.0420, device='cuda:0')
pval: 0.10400000214576721 -- 46th test, time elapsed 3.2743875980377197 -- emperical power so far: 0.41304347826086957
tensor(15.3078, device='cuda:0')
pval: 0.0010000000474974513 -- 47th test, time elapsed 3.2878353595733643 -- emperical power so far: 0.425531914893617
tensor(10.1741, device='cuda:0')
pval: 0.017000000923871994 -- 48th test, time elapsed 3.2747695446014404 -- emperical power so far: 0.4375
tensor(9.5247, device='cuda:0')
pval: 0.032999999821186066 -- 49th test, time elapsed 3.2965328693389893 -- emperical power so far: 0.4489795918367347
tensor(8.9176, device='cuda:0')
pval: 0.029000001028180122 -- 50th test, time elapsed 3.273693323135376 -- emperical power so far: 0.46
tensor(11.3005, device='cuda:0')
pval: 0.013000000268220901 -- 51th test, time elapsed 3.351658821105957 -- emperical power so far: 0.47058823529411764
tensor(9.8081, device='cuda:0')
pval: 0.017000000923871994 -- 52th test, time elapsed 3.4295217990875244 -- emperical power so far: 0.4807692307692308
tensor(9.2570, device='cuda:0')
pval: 0.02500000037252903 -- 53th test, time elapsed 3.3790767192840576 -- emperical power so far: 0.49056603773584906
tensor(4.5112, device='cuda:0')
pval: 0.21700000762939453 -- 54th test, time elapsed 3.446382522583008 -- emperical power so far: 0.48148148148148145
tensor(10.6436, device='cuda:0')
pval: 0.01100000087171793 -- 55th test, time elapsed 3.457308769226074 -- emperical power so far: 0.4909090909090909
tensor(5.8993, device='cuda:0')
pval: 0.11600000411272049 -- 56th test, time elapsed 3.4459657669067383 -- emperical power so far: 0.48214285714285715
tensor(5.1180, device='cuda:0')
pval: 0.1860000044107437 -- 57th test, time elapsed 3.4102675914764404 -- emperical power so far: 0.47368421052631576
tensor(7.0384, device='cuda:0')
pval: 0.06800000369548798 -- 58th test, time elapsed 3.402932643890381 -- emperical power so far: 0.46551724137931033
tensor(9.9168, device='cuda:0')
pval: 0.021000001579523087 -- 59th test, time elapsed 3.320068120956421 -- emperical power so far: 0.4745762711864407
tensor(7.4134, device='cuda:0')
pval: 0.0650000050663948 -- 60th test, time elapsed 3.3433754444122314 -- emperical power so far: 0.4666666666666667
tensor(1.8452, device='cuda:0')
pval: 0.6080000400543213 -- 61th test, time elapsed 3.412205219268799 -- emperical power so far: 0.45901639344262296
tensor(8.3992, device='cuda:0')
pval: 0.04100000113248825 -- 62th test, time elapsed 3.3158226013183594 -- emperical power so far: 0.46774193548387094
tensor(7.6706, device='cuda:0')
pval: 0.04400000348687172 -- 63th test, time elapsed 3.3183443546295166 -- emperical power so far: 0.47619047619047616
tensor(3.1676, device='cuda:0')
pval: 0.36500000953674316 -- 64th test, time elapsed 3.321124315261841 -- emperical power so far: 0.46875
tensor(8.9646, device='cuda:0')
pval: 0.024000000208616257 -- 65th test, time elapsed 3.2904210090637207 -- emperical power so far: 0.47692307692307695
tensor(4.3277, device='cuda:0')
pval: 0.21400001645088196 -- 66th test, time elapsed 3.3286635875701904 -- emperical power so far: 0.4696969696969697
tensor(8.1270, device='cuda:0')
pval: 0.046000003814697266 -- 67th test, time elapsed 3.2812817096710205 -- emperical power so far: 0.47761194029850745
tensor(6.1502, device='cuda:0')
pval: 0.0990000069141388 -- 68th test, time elapsed 3.2767937183380127 -- emperical power so far: 0.47058823529411764
tensor(8.8151, device='cuda:0')
pval: 0.03400000184774399 -- 69th test, time elapsed 3.3044302463531494 -- emperical power so far: 0.4782608695652174
tensor(14.9425, device='cuda:0')
pval: 0.006000000052154064 -- 70th test, time elapsed 3.281038284301758 -- emperical power so far: 0.4857142857142857
tensor(9.6109, device='cuda:0')
pval: 0.02200000174343586 -- 71th test, time elapsed 3.294931173324585 -- emperical power so far: 0.49295774647887325
tensor(3.3115, device='cuda:0')
pval: 0.3680000305175781 -- 72th test, time elapsed 3.292677402496338 -- emperical power so far: 0.4861111111111111
tensor(15.8579, device='cuda:0')
pval: 0.0010000000474974513 -- 73th test, time elapsed 3.291576862335205 -- emperical power so far: 0.4931506849315068
tensor(3.4689, device='cuda:0')
pval: 0.3400000035762787 -- 74th test, time elapsed 3.2735228538513184 -- emperical power so far: 0.4864864864864865
tensor(6.6467, device='cuda:0')
pval: 0.10000000149011612 -- 75th test, time elapsed 3.3067550659179688 -- emperical power so far: 0.48
tensor(10.9759, device='cuda:0')
pval: 0.00800000037997961 -- 76th test, time elapsed 3.2836410999298096 -- emperical power so far: 0.4868421052631579
tensor(11.0079, device='cuda:0')
pval: 0.01600000075995922 -- 77th test, time elapsed 3.286900043487549 -- emperical power so far: 0.4935064935064935
tensor(16.4411, device='cuda:0')
pval: 0.0010000000474974513 -- 78th test, time elapsed 3.2964906692504883 -- emperical power so far: 0.5
tensor(5.8057, device='cuda:0')
pval: 0.12200000882148743 -- 79th test, time elapsed 3.367046356201172 -- emperical power so far: 0.4936708860759494
tensor(5.6126, device='cuda:0')
pval: 0.10900000482797623 -- 80th test, time elapsed 3.329760789871216 -- emperical power so far: 0.4875
tensor(7.5833, device='cuda:0')
pval: 0.055000003427267075 -- 81th test, time elapsed 3.277636766433716 -- emperical power so far: 0.48148148148148145
tensor(14.2646, device='cuda:0')
pval: 0.004000000189989805 -- 82th test, time elapsed 3.2830092906951904 -- emperical power so far: 0.4878048780487805
tensor(13.1398, device='cuda:0')
pval: 0.005000000353902578 -- 83th test, time elapsed 3.2836601734161377 -- emperical power so far: 0.4939759036144578
tensor(10.0156, device='cuda:0')
pval: 0.020000001415610313 -- 84th test, time elapsed 3.285862684249878 -- emperical power so far: 0.5
tensor(6.5006, device='cuda:0')
pval: 0.0690000057220459 -- 85th test, time elapsed 3.3203341960906982 -- emperical power so far: 0.49411764705882355
tensor(0.5891, device='cuda:0')
pval: 0.9070000648498535 -- 86th test, time elapsed 3.2712957859039307 -- emperical power so far: 0.4883720930232558
tensor(8.6904, device='cuda:0')
pval: 0.02500000037252903 -- 87th test, time elapsed 3.3120386600494385 -- emperical power so far: 0.4942528735632184
tensor(5.6634, device='cuda:0')
pval: 0.11100000888109207 -- 88th test, time elapsed 3.281543254852295 -- emperical power so far: 0.48863636363636365
tensor(12.3794, device='cuda:0')
pval: 0.010000000707805157 -- 89th test, time elapsed 3.2999041080474854 -- emperical power so far: 0.4943820224719101
tensor(4.6130, device='cuda:0')
pval: 0.19700001180171967 -- 90th test, time elapsed 3.2763381004333496 -- emperical power so far: 0.4888888888888889
tensor(2.1558, device='cuda:0')
pval: 0.5320000052452087 -- 91th test, time elapsed 3.3285117149353027 -- emperical power so far: 0.4835164835164835
tensor(7.2373, device='cuda:0')
pval: 0.07800000160932541 -- 92th test, time elapsed 3.305267810821533 -- emperical power so far: 0.4782608695652174
tensor(4.8608, device='cuda:0')
pval: 0.1850000023841858 -- 93th test, time elapsed 3.3657474517822266 -- emperical power so far: 0.4731182795698925
tensor(7.7523, device='cuda:0')
pval: 0.0650000050663948 -- 94th test, time elapsed 3.375034809112549 -- emperical power so far: 0.46808510638297873
tensor(5.6573, device='cuda:0')
pval: 0.12800000607967377 -- 95th test, time elapsed 3.4394214153289795 -- emperical power so far: 0.4631578947368421
tensor(13.3900, device='cuda:0')
pval: 0.0020000000949949026 -- 96th test, time elapsed 3.3909401893615723 -- emperical power so far: 0.46875
tensor(9.5227, device='cuda:0')
pval: 0.032999999821186066 -- 97th test, time elapsed 3.4042837619781494 -- emperical power so far: 0.4742268041237113
tensor(4.4611, device='cuda:0')
pval: 0.19700001180171967 -- 98th test, time elapsed 3.2976083755493164 -- emperical power so far: 0.46938775510204084
tensor(6.0962, device='cuda:0')
pval: 0.10500000417232513 -- 99th test, time elapsed 3.3160829544067383 -- emperical power so far: 0.46464646464646464
tensor(10.2337, device='cuda:0')
pval: 0.013000000268220901 -- 100th test, time elapsed 3.2976417541503906 -- emperical power so far: 0.47
tensor(7.4410, device='cuda:0')
pval: 0.0650000050663948 -- 101th test, time elapsed 3.3261115550994873 -- emperical power so far: 0.46534653465346537
tensor(7.4265, device='cuda:0')
pval: 0.06200000271201134 -- 102th test, time elapsed 3.2739758491516113 -- emperical power so far: 0.46078431372549017
tensor(22.3337, device='cuda:0')
pval: 0.0010000000474974513 -- 103th test, time elapsed 3.280090808868408 -- emperical power so far: 0.46601941747572817
tensor(9.9425, device='cuda:0')
pval: 0.02200000174343586 -- 104th test, time elapsed 3.270338773727417 -- emperical power so far: 0.47115384615384615
tensor(10.4384, device='cuda:0')
pval: 0.01100000087171793 -- 105th test, time elapsed 3.267113208770752 -- emperical power so far: 0.47619047619047616
tensor(4.9313, device='cuda:0')
pval: 0.19700001180171967 -- 106th test, time elapsed 3.3787002563476562 -- emperical power so far: 0.4716981132075472
tensor(7.7405, device='cuda:0')
pval: 0.04700000211596489 -- 107th test, time elapsed 3.3674933910369873 -- emperical power so far: 0.4766355140186916
tensor(6.0914, device='cuda:0')
pval: 0.11400000751018524 -- 108th test, time elapsed 3.3759336471557617 -- emperical power so far: 0.4722222222222222
tensor(4.8930, device='cuda:0')
pval: 0.18400001525878906 -- 109th test, time elapsed 3.311309814453125 -- emperical power so far: 0.46788990825688076
tensor(11.2974, device='cuda:0')
pval: 0.01100000087171793 -- 110th test, time elapsed 3.2403597831726074 -- emperical power so far: 0.4727272727272727
tensor(5.5007, device='cuda:0')
pval: 0.1510000079870224 -- 111th test, time elapsed 3.320787191390991 -- emperical power so far: 0.46846846846846846
tensor(2.8277, device='cuda:0')
pval: 0.4100000262260437 -- 112th test, time elapsed 3.252769947052002 -- emperical power so far: 0.4642857142857143
tensor(22.5117, device='cuda:0')
pval: 0.0010000000474974513 -- 113th test, time elapsed 3.3954241275787354 -- emperical power so far: 0.4690265486725664
tensor(17.2842, device='cuda:0')
pval: 0.0010000000474974513 -- 114th test, time elapsed 3.402033567428589 -- emperical power so far: 0.47368421052631576
tensor(9.4031, device='cuda:0')
pval: 0.02200000174343586 -- 115th test, time elapsed 3.439326286315918 -- emperical power so far: 0.4782608695652174
tensor(5.2053, device='cuda:0')
pval: 0.14600001275539398 -- 116th test, time elapsed 3.4088823795318604 -- emperical power so far: 0.47413793103448276
tensor(12.5505, device='cuda:0')
pval: 0.0020000000949949026 -- 117th test, time elapsed 3.401190996170044 -- emperical power so far: 0.47863247863247865
tensor(5.1801, device='cuda:0')
pval: 0.16200000047683716 -- 118th test, time elapsed 3.380628824234009 -- emperical power so far: 0.4745762711864407
tensor(9.1406, device='cuda:0')
pval: 0.03500000014901161 -- 119th test, time elapsed 3.4078869819641113 -- emperical power so far: 0.4789915966386555
tensor(7.9046, device='cuda:0')
pval: 0.05300000309944153 -- 120th test, time elapsed 3.3720874786376953 -- emperical power so far: 0.475
tensor(3.7565, device='cuda:0')
pval: 0.30100002884864807 -- 121th test, time elapsed 3.352705478668213 -- emperical power so far: 0.47107438016528924
tensor(8.0613, device='cuda:0')
pval: 0.04800000041723251 -- 122th test, time elapsed 3.3632781505584717 -- emperical power so far: 0.47540983606557374
tensor(4.2233, device='cuda:0')
pval: 0.242000013589859 -- 123th test, time elapsed 3.399916172027588 -- emperical power so far: 0.4715447154471545
tensor(12.5533, device='cuda:0')
pval: 0.006000000052154064 -- 124th test, time elapsed 3.3677239418029785 -- emperical power so far: 0.47580645161290325
tensor(8.8957, device='cuda:0')
pval: 0.03100000135600567 -- 125th test, time elapsed 3.3844997882843018 -- emperical power so far: 0.48
tensor(1.2844, device='cuda:0')
pval: 0.7440000176429749 -- 126th test, time elapsed 3.398104190826416 -- emperical power so far: 0.47619047619047616
tensor(6.9240, device='cuda:0')
pval: 0.06700000166893005 -- 127th test, time elapsed 3.420288562774658 -- emperical power so far: 0.47244094488188976
tensor(4.4880, device='cuda:0')
pval: 0.2330000102519989 -- 128th test, time elapsed 3.378577709197998 -- emperical power so far: 0.46875
tensor(8.3052, device='cuda:0')
pval: 0.04800000041723251 -- 129th test, time elapsed 3.380333423614502 -- emperical power so far: 0.4728682170542636
tensor(5.6796, device='cuda:0')
pval: 0.12800000607967377 -- 130th test, time elapsed 3.376729965209961 -- emperical power so far: 0.46923076923076923
tensor(8.9311, device='cuda:0')
pval: 0.02800000086426735 -- 131th test, time elapsed 3.398329496383667 -- emperical power so far: 0.4732824427480916
tensor(12.3849, device='cuda:0')
pval: 0.010000000707805157 -- 132th test, time elapsed 3.4035680294036865 -- emperical power so far: 0.4772727272727273
tensor(15.0627, device='cuda:0')
pval: 0.0020000000949949026 -- 133th test, time elapsed 3.5241706371307373 -- emperical power so far: 0.48120300751879697
tensor(13.6932, device='cuda:0')
pval: 0.006000000052154064 -- 134th test, time elapsed 3.388488292694092 -- emperical power so far: 0.48507462686567165
tensor(2.9093, device='cuda:0')
pval: 0.41600000858306885 -- 135th test, time elapsed 3.3661000728607178 -- emperical power so far: 0.48148148148148145
tensor(11.5658, device='cuda:0')
pval: 0.010000000707805157 -- 136th test, time elapsed 3.4019320011138916 -- emperical power so far: 0.4852941176470588
tensor(17.1184, device='cuda:0')
pval: 0.0010000000474974513 -- 137th test, time elapsed 3.4080936908721924 -- emperical power so far: 0.48905109489051096
tensor(3.7228, device='cuda:0')
pval: 0.30300000309944153 -- 138th test, time elapsed 3.395498275756836 -- emperical power so far: 0.4855072463768116
tensor(1.5931, device='cuda:0')
pval: 0.6550000309944153 -- 139th test, time elapsed 3.401313066482544 -- emperical power so far: 0.48201438848920863
tensor(10.2121, device='cuda:0')
pval: 0.014000000432133675 -- 140th test, time elapsed 3.4112837314605713 -- emperical power so far: 0.4857142857142857
tensor(18.3405, device='cuda:0')
pval: 0.003000000026077032 -- 141th test, time elapsed 3.379255771636963 -- emperical power so far: 0.48936170212765956
tensor(14.5809, device='cuda:0')
pval: 0.0010000000474974513 -- 142th test, time elapsed 3.402843475341797 -- emperical power so far: 0.49295774647887325
tensor(5.3092, device='cuda:0')
pval: 0.15800000727176666 -- 143th test, time elapsed 3.407846689224243 -- emperical power so far: 0.48951048951048953
tensor(16.7792, device='cuda:0')
pval: 0.003000000026077032 -- 144th test, time elapsed 3.366544246673584 -- emperical power so far: 0.4930555555555556
tensor(8.5507, device='cuda:0')
pval: 0.039000000804662704 -- 145th test, time elapsed 3.391571283340454 -- emperical power so far: 0.496551724137931
tensor(9.0967, device='cuda:0')
pval: 0.02500000037252903 -- 146th test, time elapsed 3.3869576454162598 -- emperical power so far: 0.5
tensor(1.2138, device='cuda:0')
pval: 0.7360000610351562 -- 147th test, time elapsed 3.4105896949768066 -- emperical power so far: 0.4965986394557823
tensor(3.0839, device='cuda:0')
pval: 0.3790000081062317 -- 148th test, time elapsed 3.3657584190368652 -- emperical power so far: 0.49324324324324326
tensor(5.0567, device='cuda:0')
pval: 0.19600000977516174 -- 149th test, time elapsed 3.382805824279785 -- emperical power so far: 0.4899328859060403
tensor(4.4849, device='cuda:0')
pval: 0.23000000417232513 -- 150th test, time elapsed 3.4792938232421875 -- emperical power so far: 0.4866666666666667
tensor(6.9094, device='cuda:0')
pval: 0.08300000429153442 -- 151th test, time elapsed 3.400780439376831 -- emperical power so far: 0.48344370860927155
tensor(12.6002, device='cuda:0')
pval: 0.006000000052154064 -- 152th test, time elapsed 3.3764286041259766 -- emperical power so far: 0.4868421052631579
tensor(15.7764, device='cuda:0')
pval: 0.0010000000474974513 -- 153th test, time elapsed 3.3877477645874023 -- emperical power so far: 0.49019607843137253
tensor(11.8245, device='cuda:0')
pval: 0.01100000087171793 -- 154th test, time elapsed 3.425567150115967 -- emperical power so far: 0.4935064935064935
tensor(9.5083, device='cuda:0')
pval: 0.032999999821186066 -- 155th test, time elapsed 3.411287307739258 -- emperical power so far: 0.4967741935483871
tensor(23.9644, device='cuda:0')
pval: 0.0010000000474974513 -- 156th test, time elapsed 3.4502060413360596 -- emperical power so far: 0.5
tensor(24.2650, device='cuda:0')
pval: 0.0010000000474974513 -- 157th test, time elapsed 3.451190233230591 -- emperical power so far: 0.5031847133757962
tensor(15.5761, device='cuda:0')
pval: 0.005000000353902578 -- 158th test, time elapsed 3.4015090465545654 -- emperical power so far: 0.5063291139240507
tensor(6.2916, device='cuda:0')
pval: 0.1120000034570694 -- 159th test, time elapsed 3.4150707721710205 -- emperical power so far: 0.5031446540880503
tensor(7.0668, device='cuda:0')
pval: 0.08100000023841858 -- 160th test, time elapsed 3.3997247219085693 -- emperical power so far: 0.5
tensor(34.0164, device='cuda:0')
pval: 0.0010000000474974513 -- 161th test, time elapsed 3.4052717685699463 -- emperical power so far: 0.5031055900621118
tensor(7.9324, device='cuda:0')
pval: 0.049000002443790436 -- 162th test, time elapsed 3.439439058303833 -- emperical power so far: 0.5061728395061729
tensor(14.5789, device='cuda:0')
pval: 0.0020000000949949026 -- 163th test, time elapsed 3.343430280685425 -- emperical power so far: 0.50920245398773
tensor(8.5292, device='cuda:0')
pval: 0.04400000348687172 -- 164th test, time elapsed 3.455857276916504 -- emperical power so far: 0.5121951219512195
tensor(4.5473, device='cuda:0')
pval: 0.20600001513957977 -- 165th test, time elapsed 3.4075565338134766 -- emperical power so far: 0.509090909090909
tensor(7.8371, device='cuda:0')
pval: 0.04100000113248825 -- 166th test, time elapsed 3.403876543045044 -- emperical power so far: 0.5120481927710844
tensor(11.1879, device='cuda:0')
pval: 0.012000000104308128 -- 167th test, time elapsed 3.3950295448303223 -- emperical power so far: 0.5149700598802395
tensor(4.4354, device='cuda:0')
pval: 0.2120000123977661 -- 168th test, time elapsed 3.494349479675293 -- emperical power so far: 0.5119047619047619
tensor(16.9504, device='cuda:0')
pval: 0.0010000000474974513 -- 169th test, time elapsed 3.3656349182128906 -- emperical power so far: 0.514792899408284
tensor(5.2364, device='cuda:0')
pval: 0.16100001335144043 -- 170th test, time elapsed 3.3615903854370117 -- emperical power so far: 0.5117647058823529
tensor(28.6594, device='cuda:0')
pval: 0.0010000000474974513 -- 171th test, time elapsed 3.4079487323760986 -- emperical power so far: 0.5146198830409356
tensor(2.9954, device='cuda:0')
pval: 0.3830000162124634 -- 172th test, time elapsed 3.3468265533447266 -- emperical power so far: 0.5116279069767442
tensor(3.5416, device='cuda:0')
pval: 0.3020000159740448 -- 173th test, time elapsed 3.3768012523651123 -- emperical power so far: 0.5086705202312138
tensor(4.1539, device='cuda:0')
pval: 0.25 -- 174th test, time elapsed 3.3757288455963135 -- emperical power so far: 0.5057471264367817
tensor(6.2991, device='cuda:0')
pval: 0.09700000286102295 -- 175th test, time elapsed 3.38321852684021 -- emperical power so far: 0.5028571428571429
tensor(7.2059, device='cuda:0')
pval: 0.06100000441074371 -- 176th test, time elapsed 3.3867413997650146 -- emperical power so far: 0.5
tensor(2.5297, device='cuda:0')
pval: 0.47700002789497375 -- 177th test, time elapsed 3.4338574409484863 -- emperical power so far: 0.4971751412429379
tensor(7.6385, device='cuda:0')
pval: 0.06300000101327896 -- 178th test, time elapsed 3.3831517696380615 -- emperical power so far: 0.4943820224719101
tensor(8.7789, device='cuda:0')
pval: 0.026000000536441803 -- 179th test, time elapsed 3.3657162189483643 -- emperical power so far: 0.4972067039106145
tensor(17.7885, device='cuda:0')
pval: 0.0010000000474974513 -- 180th test, time elapsed 3.3690829277038574 -- emperical power so far: 0.5
tensor(21.1273, device='cuda:0')
pval: 0.0020000000949949026 -- 181th test, time elapsed 3.3723056316375732 -- emperical power so far: 0.5027624309392266
tensor(16.0474, device='cuda:0')
pval: 0.003000000026077032 -- 182th test, time elapsed 3.341337203979492 -- emperical power so far: 0.5054945054945055
tensor(18.2924, device='cuda:0')
pval: 0.0010000000474974513 -- 183th test, time elapsed 3.35286808013916 -- emperical power so far: 0.5081967213114754
tensor(15.5488, device='cuda:0')
pval: 0.0020000000949949026 -- 184th test, time elapsed 3.379992961883545 -- emperical power so far: 0.5108695652173914
tensor(9.8947, device='cuda:0')
pval: 0.020000001415610313 -- 185th test, time elapsed 3.424738883972168 -- emperical power so far: 0.5135135135135135
tensor(12.1957, device='cuda:0')
pval: 0.007000000216066837 -- 186th test, time elapsed 3.309298515319824 -- emperical power so far: 0.5161290322580645
tensor(11.5629, device='cuda:0')
pval: 0.010000000707805157 -- 187th test, time elapsed 3.3910841941833496 -- emperical power so far: 0.5187165775401069
tensor(14.4670, device='cuda:0')
pval: 0.004000000189989805 -- 188th test, time elapsed 3.3453786373138428 -- emperical power so far: 0.5212765957446809
tensor(14.3521, device='cuda:0')
pval: 0.006000000052154064 -- 189th test, time elapsed 3.359966278076172 -- emperical power so far: 0.5238095238095238
tensor(12.2799, device='cuda:0')
pval: 0.005000000353902578 -- 190th test, time elapsed 3.3852431774139404 -- emperical power so far: 0.5263157894736842
tensor(9.1966, device='cuda:0')
pval: 0.039000000804662704 -- 191th test, time elapsed 3.3556954860687256 -- emperical power so far: 0.5287958115183246
tensor(10.5131, device='cuda:0')
pval: 0.015000000596046448 -- 192th test, time elapsed 3.3579745292663574 -- emperical power so far: 0.53125
tensor(14.2693, device='cuda:0')
pval: 0.004000000189989805 -- 193th test, time elapsed 3.3546364307403564 -- emperical power so far: 0.533678756476684
tensor(5.0629, device='cuda:0')
pval: 0.15700000524520874 -- 194th test, time elapsed 3.3785767555236816 -- emperical power so far: 0.5309278350515464
tensor(8.4473, device='cuda:0')
