cuda:1
lapu_ell2
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 2000
tensor(0.0055, device='cuda:1')
tensor(0.0028, device='cuda:1')
pval: 0.006000000052154064 -- 40th test, time elapsed 2.4191513061523438 -- emperical power so far: 0.725
tensor(0.0017, device='cuda:1')
pval: 0.026000000536441803 -- 41th test, time elapsed 2.4125351905822754 -- emperical power so far: 0.7317073170731707
tensor(0.0018, device='cuda:1')
pval: 0.017000000923871994 -- 42th test, time elapsed 2.4419138431549072 -- emperical power so far: 0.7380952380952381
tensor(0.0019, device='cuda:1')
pval: 0.01100000087171793 -- 43th test, time elapsed 2.4433298110961914 -- emperical power so far: 0.7441860465116279
tensor(0.0033, device='cuda:1')
pval: 0.0010000000474974513 -- 44th test, time elapsed 2.4166650772094727 -- emperical power so far: 0.75
tensor(0.0016, device='cuda:1')
pval: 0.026000000536441803 -- 45th test, time elapsed 2.41725492477417 -- emperical power so far: 0.7555555555555555
tensor(0.0013, device='cuda:1')
pval: 0.04200000315904617 -- 46th test, time elapsed 2.477907419204712 -- emperical power so far: 0.7608695652173914
tensor(0.0005, device='cuda:1')
pval: 0.15200001001358032 -- 47th test, time elapsed 2.465651512145996 -- emperical power so far: 0.7446808510638298
tensor(0.0047, device='cuda:1')
pval: 0.0010000000474974513 -- 48th test, time elapsed 2.480835199356079 -- emperical power so far: 0.75
tensor(0.0002, device='cuda:1')
pval: 0.33500000834465027 -- 49th test, time elapsed 2.500826358795166 -- emperical power so far: 0.7346938775510204
tensor(0.0022, device='cuda:1')
pval: 0.012000000104308128 -- 50th test, time elapsed 2.4724864959716797 -- emperical power so far: 0.74
tensor(0.0033, device='cuda:1')
pval: 0.0010000000474974513 -- 51th test, time elapsed 2.44130539894104 -- emperical power so far: 0.7450980392156863
tensor(0.0009, device='cuda:1')
pval: 0.09200000762939453 -- 52th test, time elapsed 2.4960556030273438 -- emperical power so far: 0.7307692307692307
tensor(0.0035, device='cuda:1')
pval: 0.0010000000474974513 -- 53th test, time elapsed 2.4818124771118164 -- emperical power so far: 0.7358490566037735
tensor(0.0005, device='cuda:1')
pval: 0.19700001180171967 -- 54th test, time elapsed 2.4596457481384277 -- emperical power so far: 0.7222222222222222
tensor(0.0001, device='cuda:1')
pval: 0.289000004529953 -- 55th test, time elapsed 2.4832446575164795 -- emperical power so far: 0.7090909090909091
tensor(0.0038, device='cuda:1')
pval: 0.0010000000474974513 -- 56th test, time elapsed 2.4496347904205322 -- emperical power so far: 0.7142857142857143
tensor(0.0045, device='cuda:1')
pval: 0.0010000000474974513 -- 57th test, time elapsed 2.5081992149353027 -- emperical power so far: 0.7192982456140351
tensor(0.0016, device='cuda:1')
pval: 0.029000001028180122 -- 58th test, time elapsed 2.431622266769409 -- emperical power so far: 0.7241379310344828
tensor(0.0011, device='cuda:1')
pval: 0.04700000211596489 -- 59th test, time elapsed 2.41920804977417 -- emperical power so far: 0.7288135593220338
tensor(0.0005, device='cuda:1')
pval: 0.164000004529953 -- 60th test, time elapsed 2.4835848808288574 -- emperical power so far: 0.7166666666666667
tensor(0.0033, device='cuda:1')
pval: 0.003000000026077032 -- 61th test, time elapsed 2.4325075149536133 -- emperical power so far: 0.7213114754098361
tensor(0.0021, device='cuda:1')
pval: 0.01100000087171793 -- 62th test, time elapsed 2.4072158336639404 -- emperical power so far: 0.7258064516129032
tensor(0.0032, device='cuda:1')
pval: 0.0010000000474974513 -- 63th test, time elapsed 2.476043224334717 -- emperical power so far: 0.7301587301587301
tensor(0.0010, device='cuda:1')
pval: 0.07500000298023224 -- 64th test, time elapsed 2.4219696521759033 -- emperical power so far: 0.71875
tensor(0.0008, device='cuda:1')
pval: 0.10600000619888306 -- 65th test, time elapsed 2.4080607891082764 -- emperical power so far: 0.7076923076923077
tensor(0.0021, device='cuda:1')
pval: 0.009000000543892384 -- 66th test, time elapsed 2.4506967067718506 -- emperical power so far: 0.7121212121212122
tensor(0.0057, device='cuda:1')
pval: 0.0010000000474974513 -- 67th test, time elapsed 2.4212279319763184 -- emperical power so far: 0.7164179104477612
tensor(0.0004, device='cuda:1')
pval: 0.17500001192092896 -- 68th test, time elapsed 2.4273571968078613 -- emperical power so far: 0.7058823529411765
tensor(0.0034, device='cuda:1')
pval: 0.0010000000474974513 -- 69th test, time elapsed 2.458280324935913 -- emperical power so far: 0.7101449275362319
tensor(0.0027, device='cuda:1')
pval: 0.005000000353902578 -- 70th test, time elapsed 2.4566526412963867 -- emperical power so far: 0.7142857142857143
tensor(0.0029, device='cuda:1')
pval: 0.0020000000949949026 -- 71th test, time elapsed 2.4507439136505127 -- emperical power so far: 0.7183098591549296
tensor(0.0032, device='cuda:1')
pval: 0.003000000026077032 -- 72th test, time elapsed 2.428384304046631 -- emperical power so far: 0.7222222222222222
tensor(0.0006, device='cuda:1')
pval: 0.16500000655651093 -- 73th test, time elapsed 2.4578516483306885 -- emperical power so far: 0.7123287671232876
tensor(0.0013, device='cuda:1')
pval: 0.03400000184774399 -- 74th test, time elapsed 2.4205901622772217 -- emperical power so far: 0.7162162162162162
tensor(0.0023, device='cuda:1')
pval: 0.006000000052154064 -- 75th test, time elapsed 2.4142189025878906 -- emperical power so far: 0.72
tensor(0.0012, device='cuda:1')
pval: 0.04400000348687172 -- 76th test, time elapsed 2.4856624603271484 -- emperical power so far: 0.7236842105263158
tensor(0.0025, device='cuda:1')
pval: 0.00800000037997961 -- 77th test, time elapsed 2.500613212585449 -- emperical power so far: 0.7272727272727273
tensor(0.0036, device='cuda:1')
pval: 0.0020000000949949026 -- 78th test, time elapsed 2.4327542781829834 -- emperical power so far: 0.7307692307692307
tensor(0.0030, device='cuda:1')
pval: 0.005000000353902578 -- 79th test, time elapsed 2.4124958515167236 -- emperical power so far: 0.7341772151898734
tensor(0.0056, device='cuda:1')
pval: 0.0010000000474974513 -- 80th test, time elapsed 2.451721668243408 -- emperical power so far: 0.7375
tensor(0.0054, device='cuda:1')
pval: 0.0010000000474974513 -- 81th test, time elapsed 2.4707956314086914 -- emperical power so far: 0.7407407407407407
tensor(0.0028, device='cuda:1')
pval: 0.004000000189989805 -- 82th test, time elapsed 2.4183907508850098 -- emperical power so far: 0.7439024390243902
tensor(-8.7619e-06, device='cuda:1')
pval: 0.3890000283718109 -- 83th test, time elapsed 2.4309558868408203 -- emperical power so far: 0.7349397590361446
tensor(0.0032, device='cuda:1')
pval: 0.003000000026077032 -- 84th test, time elapsed 2.460395097732544 -- emperical power so far: 0.7380952380952381
tensor(0.0037, device='cuda:1')
pval: 0.0010000000474974513 -- 85th test, time elapsed 2.420860767364502 -- emperical power so far: 0.7411764705882353
tensor(-4.0203e-05, device='cuda:1')
pval: 0.41700002551078796 -- 86th test, time elapsed 2.421478033065796 -- emperical power so far: 0.7325581395348837
tensor(0.0019, device='cuda:1')
pval: 0.02200000174343586 -- 87th test, time elapsed 2.466709613800049 -- emperical power so far: 0.735632183908046
tensor(0.0004, device='cuda:1')
pval: 0.19100001454353333 -- 88th test, time elapsed 2.4269886016845703 -- emperical power so far: 0.7272727272727273
tensor(0.0036, device='cuda:1')
pval: 0.0020000000949949026 -- 89th test, time elapsed 2.436453104019165 -- emperical power so far: 0.7303370786516854
tensor(0.0029, device='cuda:1')
pval: 0.0020000000949949026 -- 90th test, time elapsed 2.4996767044067383 -- emperical power so far: 0.7333333333333333
tensor(0.0012, device='cuda:1')
pval: 0.04000000283122063 -- 91th test, time elapsed 2.4291322231292725 -- emperical power so far: 0.7362637362637363
tensor(0.0008, device='cuda:1')
pval: 0.11400000751018524 -- 92th test, time elapsed 2.4803991317749023 -- emperical power so far: 0.7282608695652174
tensor(0.0018, device='cuda:1')
pval: 0.01600000075995922 -- 93th test, time elapsed 2.427560567855835 -- emperical power so far: 0.7311827956989247
tensor(0.0015, device='cuda:1')
pval: 0.020000001415610313 -- 94th test, time elapsed 2.4665775299072266 -- emperical power so far: 0.7340425531914894
tensor(0.0013, device='cuda:1')
pval: 0.023000001907348633 -- 95th test, time elapsed 2.4717519283294678 -- emperical power so far: 0.7368421052631579
tensor(0.0014, device='cuda:1')
pval: 0.039000000804662704 -- 96th test, time elapsed 2.446591854095459 -- emperical power so far: 0.7395833333333334
tensor(0.0017, device='cuda:1')
pval: 0.021000001579523087 -- 97th test, time elapsed 2.4273223876953125 -- emperical power so far: 0.7422680412371134
tensor(0.0015, device='cuda:1')
pval: 0.029000001028180122 -- 98th test, time elapsed 2.4601123332977295 -- emperical power so far: 0.7448979591836735
tensor(0.0036, device='cuda:1')
pval: 0.0010000000474974513 -- 99th test, time elapsed 2.437814474105835 -- emperical power so far: 0.7474747474747475
tensor(0.0006, device='cuda:1')
pval: 0.14500001072883606 -- 100th test, time elapsed 2.4116337299346924 -- emperical power so far: 0.74
tensor(0.0006, device='cuda:1')
pval: 0.15300001204013824 -- 101th test, time elapsed 2.455332040786743 -- emperical power so far: 0.7326732673267327
tensor(0.0061, device='cuda:1')
pval: 0.0010000000474974513 -- 102th test, time elapsed 2.495058536529541 -- emperical power so far: 0.7352941176470589
tensor(0.0002, device='cuda:1')
pval: 0.2939999997615814 -- 103th test, time elapsed 2.488964796066284 -- emperical power so far: 0.7281553398058253
tensor(0.0010, device='cuda:1')
pval: 0.07100000232458115 -- 104th test, time elapsed 2.478348731994629 -- emperical power so far: 0.7211538461538461
tensor(0.0010, device='cuda:1')
pval: 0.07400000095367432 -- 105th test, time elapsed 2.4461441040039062 -- emperical power so far: 0.7142857142857143
tensor(0.0030, device='cuda:1')
pval: 0.0020000000949949026 -- 106th test, time elapsed 2.486844062805176 -- emperical power so far: 0.7169811320754716
tensor(0.0045, device='cuda:1')
pval: 0.0010000000474974513 -- 107th test, time elapsed 2.413942337036133 -- emperical power so far: 0.719626168224299
tensor(0.0011, device='cuda:1')
pval: 0.06800000369548798 -- 108th test, time elapsed 2.449120044708252 -- emperical power so far: 0.7129629629629629
tensor(-0.0003, device='cuda:1')
pval: 0.6470000147819519 -- 109th test, time elapsed 2.4647977352142334 -- emperical power so far: 0.7064220183486238
tensor(0.0020, device='cuda:1')
pval: 0.00800000037997961 -- 110th test, time elapsed 2.42826771736145 -- emperical power so far: 0.7090909090909091
tensor(0.0053, device='cuda:1')
pval: 0.0010000000474974513 -- 111th test, time elapsed 2.462998867034912 -- emperical power so far: 0.7117117117117117
tensor(0.0010, device='cuda:1')
pval: 0.07700000703334808 -- 112th test, time elapsed 2.446155309677124 -- emperical power so far: 0.7053571428571429
tensor(0.0026, device='cuda:1')
pval: 0.003000000026077032 -- 113th test, time elapsed 2.477140188217163 -- emperical power so far: 0.7079646017699115
tensor(0.0062, device='cuda:1')
pval: 0.0010000000474974513 -- 114th test, time elapsed 2.433892011642456 -- emperical power so far: 0.7105263157894737
tensor(0.0048, device='cuda:1')
pval: 0.0020000000949949026 -- 115th test, time elapsed 2.4223625659942627 -- emperical power so far: 0.7130434782608696
tensor(0.0038, device='cuda:1')
pval: 0.0010000000474974513 -- 116th test, time elapsed 2.449863910675049 -- emperical power so far: 0.7155172413793104
tensor(0.0013, device='cuda:1')
pval: 0.03700000047683716 -- 117th test, time elapsed 2.4646477699279785 -- emperical power so far: 0.717948717948718
tensor(0.0028, device='cuda:1')
pval: 0.004000000189989805 -- 118th test, time elapsed 2.4203379154205322 -- emperical power so far: 0.7203389830508474
tensor(0.0010, device='cuda:1')
pval: 0.06700000166893005 -- 119th test, time elapsed 2.4287683963775635 -- emperical power so far: 0.7142857142857143
tensor(0.0028, device='cuda:1')
pval: 0.004000000189989805 -- 120th test, time elapsed 2.432075262069702 -- emperical power so far: 0.7166666666666667
tensor(0.0012, device='cuda:1')
pval: 0.04700000211596489 -- 121th test, time elapsed 2.4550693035125732 -- emperical power so far: 0.71900826446281
tensor(0.0042, device='cuda:1')
pval: 0.0010000000474974513 -- 122th test, time elapsed 2.4232075214385986 -- emperical power so far: 0.7213114754098361
tensor(0.0037, device='cuda:1')
pval: 0.0020000000949949026 -- 123th test, time elapsed 2.4437484741210938 -- emperical power so far: 0.7235772357723578
tensor(0.0009, device='cuda:1')
pval: 0.08700000494718552 -- 124th test, time elapsed 2.44939923286438 -- emperical power so far: 0.717741935483871
tensor(0.0019, device='cuda:1')
pval: 0.013000000268220901 -- 125th test, time elapsed 2.444615602493286 -- emperical power so far: 0.72
tensor(0.0016, device='cuda:1')
pval: 0.02500000037252903 -- 126th test, time elapsed 2.4652388095855713 -- emperical power so far: 0.7222222222222222
tensor(0.0048, device='cuda:1')
pval: 0.0010000000474974513 -- 127th test, time elapsed 2.507107973098755 -- emperical power so far: 0.7244094488188977
tensor(0.0017, device='cuda:1')
pval: 0.01600000075995922 -- 128th test, time elapsed 2.459456205368042 -- emperical power so far: 0.7265625
tensor(0.0001, device='cuda:1')
pval: 0.32500001788139343 -- 129th test, time elapsed 2.460331916809082 -- emperical power so far: 0.7209302325581395
tensor(0.0020, device='cuda:1')
pval: 0.00800000037997961 -- 130th test, time elapsed 2.462934732437134 -- emperical power so far: 0.7230769230769231
tensor(0.0045, device='cuda:1')
pval: 0.0010000000474974513 -- 131th test, time elapsed 2.463630437850952 -- emperical power so far: 0.7251908396946565
tensor(0.0017, device='cuda:1')
pval: 0.02200000174343586 -- 132th test, time elapsed 2.4216041564941406 -- emperical power so far: 0.7272727272727273
tensor(0.0024, device='cuda:1')
pval: 0.00800000037997961 -- 133th test, time elapsed 2.42254638671875 -- emperical power so far: 0.7293233082706767
tensor(0.0031, device='cuda:1')
pval: 0.003000000026077032 -- 134th test, time elapsed 2.498495578765869 -- emperical power so far: 0.7313432835820896
tensor(0.0046, device='cuda:1')
pval: 0.0010000000474974513 -- 135th test, time elapsed 2.45125675201416 -- emperical power so far: 0.7333333333333333
tensor(0.0008, device='cuda:1')
pval: 0.09800000488758087 -- 136th test, time elapsed 2.44922137260437 -- emperical power so far: 0.7279411764705882
tensor(0.0017, device='cuda:1')
pval: 0.01900000125169754 -- 137th test, time elapsed 2.493103265762329 -- emperical power so far: 0.7299270072992701
tensor(0.0002, device='cuda:1')
pval: 0.3110000193119049 -- 138th test, time elapsed 2.433061361312866 -- emperical power so far: 0.7246376811594203
tensor(0.0050, device='cuda:1')
pval: 0.0010000000474974513 -- 139th test, time elapsed 2.460878610610962 -- emperical power so far: 0.7266187050359713
tensor(0.0048, device='cuda:1')
pval: 0.0010000000474974513 -- 140th test, time elapsed 2.4802253246307373 -- emperical power so far: 0.7285714285714285
tensor(0.0023, device='cuda:1')
pval: 0.007000000216066837 -- 141th test, time elapsed 2.4314820766448975 -- emperical power so far: 0.7304964539007093
tensor(0.0018, device='cuda:1')
pval: 0.018000001087784767 -- 142th test, time elapsed 2.4186747074127197 -- emperical power so far: 0.7323943661971831
tensor(0.0033, device='cuda:1')
pval: 0.0010000000474974513 -- 143th test, time elapsed 2.470280408859253 -- emperical power so far: 0.7342657342657343
tensor(0.0025, device='cuda:1')
pval: 0.005000000353902578 -- 144th test, time elapsed 2.4390151500701904 -- emperical power so far: 0.7361111111111112
tensor(0.0022, device='cuda:1')
pval: 0.01900000125169754 -- 145th test, time elapsed 2.441385507583618 -- emperical power so far: 0.7379310344827587
tensor(0.0033, device='cuda:1')
pval: 0.0020000000949949026 -- 146th test, time elapsed 2.4609339237213135 -- emperical power so far: 0.7397260273972602
tensor(0.0033, device='cuda:1')
pval: 0.0020000000949949026 -- 147th test, time elapsed 2.460623264312744 -- emperical power so far: 0.7414965986394558
tensor(0.0006, device='cuda:1')
pval: 0.15700000524520874 -- 148th test, time elapsed 2.484642505645752 -- emperical power so far: 0.7364864864864865
tensor(0.0027, device='cuda:1')
pval: 0.004000000189989805 -- 149th test, time elapsed 2.458139657974243 -- emperical power so far: 0.738255033557047
tensor(0.0028, device='cuda:1')
pval: 0.0010000000474974513 -- 150th test, time elapsed 2.440408945083618 -- emperical power so far: 0.74
tensor(0.0008, device='cuda:1')
pval: 0.10500000417232513 -- 151th test, time elapsed 2.4791033267974854 -- emperical power so far: 0.7350993377483444
tensor(-4.0650e-05, device='cuda:1')
pval: 0.4320000112056732 -- 152th test, time elapsed 2.454876661300659 -- emperical power so far: 0.7302631578947368
tensor(0.0020, device='cuda:1')
pval: 0.006000000052154064 -- 153th test, time elapsed 2.423412561416626 -- emperical power so far: 0.7320261437908496
tensor(0.0056, device='cuda:1')
pval: 0.0010000000474974513 -- 154th test, time elapsed 2.4409878253936768 -- emperical power so far: 0.7337662337662337
tensor(0.0041, device='cuda:1')
pval: 0.0010000000474974513 -- 155th test, time elapsed 2.4971282482147217 -- emperical power so far: 0.7354838709677419
tensor(0.0034, device='cuda:1')
pval: 0.0010000000474974513 -- 156th test, time elapsed 2.43849515914917 -- emperical power so far: 0.7371794871794872
tensor(0.0021, device='cuda:1')
pval: 0.010000000707805157 -- 157th test, time elapsed 2.534275531768799 -- emperical power so far: 0.7388535031847133
tensor(0.0018, device='cuda:1')
pval: 0.018000001087784767 -- 158th test, time elapsed 2.476491689682007 -- emperical power so far: 0.740506329113924
tensor(0.0009, device='cuda:1')
pval: 0.08800000697374344 -- 159th test, time elapsed 2.469269037246704 -- emperical power so far: 0.7358490566037735
tensor(0.0030, device='cuda:1')
pval: 0.005000000353902578 -- 160th test, time elapsed 2.4153199195861816 -- emperical power so far: 0.7375
tensor(0.0031, device='cuda:1')
pval: 0.004000000189989805 -- 161th test, time elapsed 2.482680559158325 -- emperical power so far: 0.7391304347826086
tensor(0.0002, device='cuda:1')
pval: 0.3140000104904175 -- 162th test, time elapsed 2.4484639167785645 -- emperical power so far: 0.7345679012345679
tensor(0.0009, device='cuda:1')
pval: 0.0820000022649765 -- 163th test, time elapsed 2.4279236793518066 -- emperical power so far: 0.7300613496932515
tensor(0.0017, device='cuda:1')
pval: 0.023000001907348633 -- 164th test, time elapsed 2.464405059814453 -- emperical power so far: 0.7317073170731707
tensor(0.0011, device='cuda:1')
pval: 0.04100000113248825 -- 165th test, time elapsed 2.422844886779785 -- emperical power so far: 0.7333333333333333
tensor(0.0028, device='cuda:1')
pval: 0.006000000052154064 -- 166th test, time elapsed 2.4195163249969482 -- emperical power so far: 0.7349397590361446
tensor(0.0012, device='cuda:1')
pval: 0.05100000277161598 -- 167th test, time elapsed 2.4834237098693848 -- emperical power so far: 0.7305389221556886
tensor(0.0023, device='cuda:1')
pval: 0.006000000052154064 -- 168th test, time elapsed 2.471390724182129 -- emperical power so far: 0.7321428571428571
tensor(0.0002, device='cuda:1')
pval: 0.29500001668930054 -- 169th test, time elapsed 2.4221737384796143 -- emperical power so far: 0.727810650887574
tensor(0.0004, device='cuda:1')
pval: 0.21900001168251038 -- 170th test, time elapsed 2.454318046569824 -- emperical power so far: 0.7235294117647059
tensor(0.0004, device='cuda:1')
pval: 0.21900001168251038 -- 171th test, time elapsed 2.426985502243042 -- emperical power so far: 0.7192982456140351
tensor(0.0012, device='cuda:1')
pval: 0.0690000057220459 -- 172th test, time elapsed 2.4666833877563477 -- emperical power so far: 0.7151162790697675
tensor(0.0020, device='cuda:1')
pval: 0.01900000125169754 -- 173th test, time elapsed 2.449052572250366 -- emperical power so far: 0.7167630057803468
tensor(0.0014, device='cuda:1')
pval: 0.049000002443790436 -- 174th test, time elapsed 2.4598753452301025 -- emperical power so far: 0.7183908045977011
tensor(0.0002, device='cuda:1')
pval: 0.33000001311302185 -- 175th test, time elapsed 2.508282423019409 -- emperical power so far: 0.7142857142857143
tensor(0.0017, device='cuda:1')
pval: 0.024000000208616257 -- 176th test, time elapsed 2.456317901611328 -- emperical power so far: 0.7159090909090909
tensor(0.0032, device='cuda:1')
pval: 0.0010000000474974513 -- 177th test, time elapsed 2.420304298400879 -- emperical power so far: 0.7175141242937854
tensor(0.0005, device='cuda:1')
pval: 0.1810000091791153 -- 178th test, time elapsed 2.4292242527008057 -- emperical power so far: 0.7134831460674157
tensor(0.0016, device='cuda:1')
pval: 0.024000000208616257 -- 179th test, time elapsed 2.460815906524658 -- emperical power so far: 0.7150837988826816
tensor(0.0030, device='cuda:1')
pval: 0.0010000000474974513 -- 180th test, time elapsed 2.4370508193969727 -- emperical power so far: 0.7166666666666667
tensor(0.0012, device='cuda:1')
pval: 0.05400000140070915 -- 181th test, time elapsed 2.4126079082489014 -- emperical power so far: 0.712707182320442
tensor(0.0016, device='cuda:1')
pval: 0.021000001579523087 -- 182th test, time elapsed 2.4971742630004883 -- emperical power so far: 0.7142857142857143
tensor(-0.0004, device='cuda:1')
pval: 0.7200000286102295 -- 183th test, time elapsed 2.4489269256591797 -- emperical power so far: 0.7103825136612022
tensor(0.0036, device='cuda:1')
pval: 0.005000000353902578 -- 184th test, time elapsed 2.5876305103302 -- emperical power so far: 0.7119565217391305
tensor(0.0021, device='cuda:1')
pval: 0.014000000432133675 -- 185th test, time elapsed 2.445816993713379 -- emperical power so far: 0.7135135135135136
tensor(0.0026, device='cuda:1')
pval: 0.0020000000949949026 -- 186th test, time elapsed 2.462932825088501 -- emperical power so far: 0.7150537634408602
tensor(0.0036, device='cuda:1')
pval: 0.0010000000474974513 -- 187th test, time elapsed 2.4296228885650635 -- emperical power so far: 0.7165775401069518
tensor(0.0026, device='cuda:1')
pval: 0.0020000000949949026 -- 188th test, time elapsed 2.475881576538086 -- emperical power so far: 0.7180851063829787
tensor(0.0020, device='cuda:1')
pval: 0.012000000104308128 -- 189th test, time elapsed 2.47572922706604 -- emperical power so far: 0.7195767195767195
tensor(0.0038, device='cuda:1')
pval: 0.0010000000474974513 -- 190th test, time elapsed 2.417527198791504 -- emperical power so far: 0.7210526315789474
tensor(0.0018, device='cuda:1')
pval: 0.013000000268220901 -- 191th test, time elapsed 2.4584598541259766 -- emperical power so far: 0.7225130890052356
tensor(-0.0005, device='cuda:1')
pval: 0.7730000615119934 -- 192th test, time elapsed 2.4395151138305664 -- emperical power so far: 0.71875
tensor(0.0033, device='cuda:1')
pval: 0.0010000000474974513 -- 193th test, time elapsed 2.417903423309326 -- emperical power so far: 0.7202072538860104
tensor(0.0102, device='cuda:1')
